Donor,donorcountryid
Integrated Health Services,Total DAC
Integrated Sustainable Livelihoods,Total DAC
Intergovernmental Organization,Total DAC
InterNational Alliances,Total DAC
InterNational Emergency and Development Aid,Total DAC
InterNational Humanitarian City,Total DAC
InterNational Humanitarian Fact-Finding Commission,Total DAC
InterNational Humanitarian Fund LIBA,Total DAC
InterNational Peace Building Alliance/WSP InterNational,Total DAC
InterNational Rehabilitation Council of Tortured Victims,Total DAC
International Talk Network Ltd,Total DAC
Interpeace,Total DAC
IOGT-NTO,Total DAC
IPYS - Instituto Prensa y Sociedad,Total DAC
IQC TBD,Total DAC
Iqra Cultural Center,Total DAC
Iraqi Relief Organisation,Total DAC
Iraqi Southern Sun Association,Total DAC
Irish Sri Lanka Trust Fund,Total DAC
Irish UNMIL Battalion,Total DAC
ISJ,Total DAC
Islamic Commission of Care,Total DAC
ISP IN AFRICA,Total DAC
ITF,Total DAC
JAFS,Total DAC
JAGAN. L.A.,Total DAC
Japan Actions for Relief Center,Total DAC
Japan-ASEAN Integration Fund,Total DAC
JEOP - Joint Emergency Operation,Total DAC
Jmaaiat Al ayadi Albaidaa - Lebanon,Total DAC
Johor Community Development Committee for Women and Family Development ,Total DAC
Joint IDP Profiling Service,Total DAC
Joint Mediation Support Team,Total DAC
Joint Military Commission,Total DAC
JSI,Total DAC
Juba Shine,Total DAC
Judicial System Monitoring Programme,Total DAC
Juridisk rådgivning for kvinner,Total DAC
Karuna Hpaan,Total DAC
Keren Hayesod,Total DAC
Kerk in Actie - Netherlands,Total DAC
Key Stone,Total DAC
Kids and Women Organization,Total DAC
KISIMA Peace and Development Organization,Total DAC
"Kjemisk Forbund, Palestinagruppene",Total DAC
Klaila Organisation,Total DAC
Kobü,Total DAC
Kompetansesenteret for urfolksrettigheter,Total DAC
Koperativ Agrikol Tibiwon,Total DAC
"Korea State Council, Lions Clubs InterNational",Total DAC
Kosovo Force (NATO)/Civil-Military Co-operation,Total DAC
KPR,Total DAC
Kriminalomsorg.utdanningssent,Total DAC
L'Agora/Madani Dia,Total DAC
Lambi Fund of Haiti,Total DAC
"Landsorganisasjonen i Norge, internasj. sekret.",Total DAC
LEAD Trust,Total DAC
LH/ACT,Total DAC
Liberia Reconstruction Trust Fund,Total DAC
Liberia WASH Consortium,Total DAC
Libyan Relief Committee,Total DAC
LIDEAS DRC,Total DAC
Life for Syria,Total DAC
LSQC,Total DAC
M. J. Murdock Charitable Trust,Total DAC
M.A.C. AIDS Fund,Total DAC
MAAMS,Total DAC
Mag. Raheb,Total DAC
MAI,Total DAC
Majulah Indonesia Tanah Airku,Total DAC
Mala Sirena,Total DAC
Malawi Economic Justice Network,Total DAC
Man in Need,Total DAC
Management Services for Health,Total DAC
MAPACT,Total DAC
Marsh Arabs,Total DAC
Matrix,Total DAC
MDC / TMAC,Total DAC
Medina,Total DAC
Memorial Human Rights Centre,Total DAC
MEN,Total DAC
MENTOR-Malaria Emergency Technical and Operational Response (Johns Hopkins Univ.),Total DAC
MfAS,Total DAC
Mine Action Group,Total DAC
Mine Action Programme for Afghanistan,Total DAC
Mine Detection Centre,Total DAC
Ministry of Environment and University of Zurich,Total DAC
Ministry of Foreign Affairs,Total DAC
MIR - MUXO Impact Relief,Total DAC
Misericordia InterNational Center Day Care,Total DAC
Missionnaires du Divin Maître/Shabunda,Total DAC
MoAAH/FAO,Total DAC
Morija,Total DAC
Mother and Children Development Aid,Total DAC
MRCA - Medical Refresher Course for Afghan,Total DAC
MRCA / AMI,Total DAC
MRRD/UNICEF,Total DAC
MRRD/UNOPS,Total DAC
MSI,Total DAC
MSZ,Total DAC
Multilateral Agencies,Total DAC
Multiple Partners,Total DAC
"NABA""A",Total DAC
NAC,Total DAC
Nachbar in Not,Total DAC
Nærings- og Handelsdepartementet,Total DAC
National Center for the Prevention of HIV/AIDS,Total DAC
National Committee for Demining and Rehabilitation,Total DAC
National Committee for Disaster Management,Total DAC
National Democratic Institute for InterNational Affairs/InterNational Republican Institute,Total DAC
National Development Organization,Total DAC
National Radio Appeal,Total DAC
National Rural Support Programme,Total DAC
National Society for Rehabilitation,Total DAC
Natur Environments & Wildlife Society and Calcutta Foundation,Total DAC
Neighborhood Disaster Volunteers,Total DAC
Network on Humanitarian Assistance,Total DAC
NETZ,Total DAC
New Consultancy and Relief Organization,Total DAC
Next Step AS,Total DAC
NGOs; Red Cross (details not yet provided) ,Total DAC
NGOs; Red Cross/Red Crescent (details not yet provided),Total DAC
NIISO,Total DAC
Nile Mission,Total DAC
NMIAD,Total DAC
No channel specified,Total DAC
Nomadic Assistance for Peace and Development,Total DAC
Nomads Development and Environmental Conservation,Total DAC
Non Violent Peace Force Sri Lanka ,Total DAC
Norges Fredslag,Total DAC
Norges Juristforbund,Total DAC
Norsk forbund f. utv.hemmede,Total DAC
Norsk tamilsk helse organisasjon,Total DAC
Norsk Vietnamesisk Senter,Total DAC
NU,Total DAC
OAP,Total DAC
Office for Drug Control and Crime Prevention,Total DAC
Office for Intellectual Freedom ,Total DAC
Official Development Assistance,Total DAC
Òganizasyon Fanm tou Nèf Balan,Total DAC
OIC Aid Committee for the Child Victims of Tsunami,Total DAC
öKO HIMAL,Total DAC
OneBeacon Charitable Trust,Total DAC
ONG Actions,Total DAC
Open Continent,Total DAC
Operation Lifeline Sudan,Total DAC
Operations Team,Total DAC
Organisation for Mine Awareness and Reconstruction,Total DAC
Orphans and Divorced Rights Association,Total DAC
Oslosenteret for fred og menneskerettigheter,Total DAC
Other income,Total DAC
Ottawa Convention Sponsorship Programme,Total DAC
Ottawa Convention Sponsorship Programme ,Total DAC
PA_05,Total DAC
"PADCO, WWCIS, ASI",Total DAC
PAIMAN Alumni Trust,Total DAC
Pain Pour Les Déshérités (PPLD),Total DAC
Pakistansk Velferdsorganisasjon Norge,Total DAC
Palestinian Farmers Union,Total DAC
Palestinian Peace Coalition ,Total DAC
Panzi Hospital,Total DAC
PAP,Total DAC
PARD,Total DAC
Parliamentary Forum,Total DAC
Paroecia Latina S.Catharinae,Total DAC
Participatory Educational Awareness and Community Empowerment,Total DAC
PARTNERS,Total DAC
Patient Friendly Society,Total DAC
Pelayanan Advokasi untuk Keadilan dan Perdamaian Indonesia,Total DAC
Peoples' Organization for Development and Rehabilitation,Total DAC
Père Jaar,Total DAC
Perkumpulan Paluma Nusantara,Total DAC
Perspectives pour la Santé et le Développement,Total DAC
Pew Charitable Trusts ,Total DAC
PIAL,Total DAC
PIDAD,Total DAC
PIPA,Total DAC
"Plateforme d""insertion par l""humanitaire",Total DAC
PLO DoRA,Total DAC
Politidirektoratet,Total DAC
Posko Atambua,Total DAC
PREPARED,Total DAC
Press Trust / IDI,Total DAC
PRIMA SYNERGIE,Total DAC
Private Voluntary Organizations,Total DAC
Progedes-Nicaragua,Total DAC
Programme d'Intégration et de Développement du Peuple pygmée au Kiwu ,Total DAC
Programme for Emergency Education and Reconstruction ,Total DAC
Progressive Interventions,Total DAC
PSF-France/Clermont-Ferrand,Total DAC
PSO,Total DAC
Psykisk Helsevern Østfold HF v/ Norum,Total DAC
Pyoe Pin,Total DAC
"Raad, Liv",Total DAC
"Raftostiftelsen, prosjekt",Total DAC
Raggio di Luce ,Total DAC
Rainbow Gateway,Total DAC
Rainwater Association of Somalia,Total DAC
RCO,Total DAC
RCT,Total DAC
Reach Vulnerable,Total DAC
REDOG,Total DAC
Reform Society,Total DAC
Reseau des Entrepreneurs Solidaires,Total DAC
Responsive,Total DAC
Results Japan,Total DAC
Root of Grass,Total DAC
Rosalia Hoog,Total DAC
RTI,Total DAC
Rural Capacities Development Committee,Total DAC
Rural Centre for Sustainable Development,Total DAC
Rural Development Initiative South Sudan,Total DAC
Rural Empowerment and Institutional Development,Total DAC
Rural Support Programmes Network,Total DAC
Rural Water and Sanitation Support Agency,Total DAC
SADRI,Total DAC
Safa Marwa Relief and Development Organization,Total DAC
SAFDF,Total DAC
Samerådet,Total DAC
Sametinget,Total DAC
Samis,Total DAC
SANAR YURDATAPAN  - FEA,Total DAC
Sanitary of Epidemiological Station,Total DAC
Sant''Egidio,Total DAC
SC/US and World Vision,Total DAC
SCD-RB,Total DAC
Schools Association for Formal Education,Total DAC
SDW,Total DAC
SECONRED,Total DAC
Sedec-Hudec,Total DAC
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region,Total DAC
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region ,Total DAC
Sentinelles,Total DAC
SERVICE INT. POUR LES DROITS DE L HOMME,Total DAC
SERVICIO PAZ Y JUSTICIA,Total DAC
SE-SINAPRED,Total DAC
Sewa Development Trust Sindh,Total DAC
SHA/NRE,Total DAC
Shafaq Rehabilitation Organization (SHA),Total DAC
Sharaja,Total DAC
SHARE,Total DAC
Share Association of Guatemala,Total DAC
Sharukhi Rehabilitation Project,Total DAC
Sharukhi Rehabilitation Project ,Total DAC
Shelter Centre,Total DAC
Sibro,Total DAC
SIG - Canton's Industrial Services - Geneve (CH),Total DAC
Siriri,Total DAC
Slavik,Total DAC
SNG,Total DAC
Social and Humanitarian Assistance Organization,Total DAC
Social Economical Environmental Developers ,Total DAC
Social Services Program,Total DAC
Society for Awareness and Change,Total DAC
"Society for Skills, Trainings & Development",Total DAC
Society for Sustainable Development,Total DAC
Society of Physically Handicapped People,Total DAC
SOHDO,Total DAC
Sølvberget,Total DAC
Somali Organic Agriculture Development Organization,Total DAC
Somalia Relive Centre,Total DAC
Somalischer Verein e.V.,Total DAC
Soryiat,Total DAC
SSA,Total DAC
SSB,Total DAC
SSDO - South Sudan Development Organisation,Total DAC
SST,Total DAC
St. Damien Hospital,Total DAC
Standard Action Liaison Focus,Total DAC
Star of Hope,Total DAC
STARH Project,Total DAC
"Stavanger kommune, Litteraturfestivalen Kapittel06",Total DAC
"Stavanger kommune, Sølvberget KF Bibl.og kul",Total DAC
STC SW,Total DAC
STCH,Total DAC
"Steenfeldt-Foss, O. W.",Total DAC
STEP Afghanistan,Total DAC
Steps InterNational,Total DAC
Stichting World Federalist Movement,Total DAC
Stiftelsen Menneskeret.Huset,Total DAC
Stiftelsen SOS Barnelandsbyer,Total DAC
Strømmestiftelsen - UD-tilskudd,Total DAC
Studentenes og Akademikernes Internasjonale Hjelpefond,Total DAC
Sub-Saharan InterNational Development Organization,Total DAC
SUKS - Schweizerisches Unterstützungskomitee für die Sahraouis,Total DAC
Support for Peace and Education Development Program,Total DAC
Survey Action Center,Total DAC
Sustainable Heath Development Centre,Total DAC
Swedish and Norwegian Ecumenical Accompaniment Programme in Palestine and Israel,Total DAC
Swedish Ecumenical Accompaniment Programme in Palestine and Israel,Total DAC
Swiss Foundation for Mine Action / Organisation for Security and Cooperation in Europe,Total DAC
SwissCor,Total DAC
SYRIA CAMPAIGN ,Total DAC
Tambanevana Children's Association,Total DAC
TASSAGHT,Total DAC
Tehreek,Total DAC
Temporary InterNational Presence in Hebron,Total DAC
TERREMOTO HAITI,Total DAC
Thai Tsunami Victim Identification Group,Total DAC
The Competitiveness,Total DAC
The Danish-Ethiopian Joint Initiative,Total DAC
The Family Centre,Total DAC
The Iraqi InterNational Association for Civil Society,Total DAC
The Living History Forum,Total DAC
The Norwegian Helsinki Committee,Total DAC
Todya Organization,Total DAC
Tørrlandskoordineringsgruppen ,Total DAC
Trans-Nzoia Socio-Economic Network,Total DAC
Treatment and Rehabilitation Centre,Total DAC
Tribal Reforms and Development Organization,Total DAC
Trickle  Up Program,Total DAC
Tromso Center for Mine Damages,Total DAC
UCODEP__298,Total DAC
UN Agencies and NGOs (details not yet provided),Total DAC
UN Agencies and Red Cross (details not yet provided),Total DAC
UN Agencies and Red Cross (details not yet provided) ,Total DAC
"UN Agencies, NGOs and Red Cross (details not yet provided)",Total DAC
Unallocated Pledges,Total DAC
Union Des Organisations Syrienne de Secours Medicaux,Total DAC
Union Nationale des Associations Diocesaines de Secours et Developpement,Total DAC
Union of Health Work Committees,Total DAC
UNITEC,Total DAC
United States Catholic Conference,Total DAC
Unspecified,Total DAC
UPR Info,Total DAC
Various (details not yet provided),Total DAC
Various Donors ,Total DAC
Various Donors (details not yet provided),Total DAC
Various Donors (private),Total DAC
Various Recipients (details not yet provided),Total DAC
VAS,Total DAC
VEH,Total DAC
VEH/HAD,Total DAC
Verein f. hum. Hilfe Vaduz,Total DAC
Vetwork Services Trust,Total DAC
VIC,Total DAC
Village Elders Group,Total DAC
VITALITE PLUS,Total DAC
Vitalité Plus,Total DAC
Voluntary Health Association of India,Total DAC
Volunteer Corpes-Greek Firemen Replanters,Total DAC
VsF (CH) / PACE,Total DAC
Wahdat Rehabilitation and Development Organization for Afghan Women,Total DAC
Wakachiai Project,Total DAC
Waltraud Torossian-Brigasky,Total DAC
WAM,Total DAC
Wamo Relief and Rehabilitation Services,Total DAC
Watan’s Social Technical Services Association,Total DAC
Water and Sanitation Consortium,Total DAC
We Effect,Total DAC
WFP and NGO Partners,Total DAC
WFP/SHA,Total DAC
Women's Evangelical Association of Bossangoa,Total DAC
WORLD ASSEMBLY OF MUSLIMS YOUTH,Total DAC
World Humanitarian Forum,Total DAC
Yayasan Ananda Marga Indonesia,Total DAC
Yayasan Dian Desa,Total DAC
Yemeni Social Reform Society,Total DAC
Youth Activity Organization,Total DAC
Youth Resource Centre,Total DAC
ZAF,Total DAC
ZAWD - Organization for Humanitarian and Development,Total DAC
Zukunft f. Kinder,Total DAC
Eli Lilly,Total DAC
CAN FOUNDATION,Total DAC
International Criminal Police Organization - INTERPOL,Total DAC
The Pacific Community (former South Pacific Commission),Total DAC
Humanitarian Grand Challenge,Total DAC
Corporacion andina de fomento,Total DAC
World Bank,Total DAC
Asian Development Bank,Total DAC
Council of Europe Development Bank,Total DAC
Organization of American States,Total DAC
Caribbean Development Bank,Total DAC
European Investment Bank,Total DAC
African Development Bank,Total DAC
Organization for African Unity,Total DAC
International Olympic Committee,Total DAC
Inter-American Development Bank,Total DAC
Andean Development Corporation,Total DAC
Organization of Petroleum Exporting Countries Fund,Total DAC
NaCSA/World Bank,Total DAC
North Atlantic Treaty Organization,Total DAC
Pacific Islands Forum,Total DAC
South Pacific Applied Geoscience Commission,Total DAC
Arab League,Total DAC
Islamic Development Bank,Total DAC
Asian Disaster Reduction Center,Total DAC
African Union,Total DAC
Organization for Security & Cooperation in Europe,Total DAC
Asia Pacific Permanent Representatives' Spouses Group,Total DAC
OPEC Fund for International Development,Total DAC
Arab Authority for Agricultural Investment and Development,Total DAC
Great Lakes Initiative Project HIV/AIDS,Total DAC
Organisation of the Islamic Conference,Total DAC
Islamic Edu. Scien. Cultural Org.,Total DAC
Inter Américain de Coopération Agricole,Total DAC
Intergov Authority on Development,Total DAC
Economic Community of West African States,Total DAC
Association of Southeast Asian Nations,Total DAC
Southern African Development Community,Total DAC
Intergovernmental Authority on Development,Total DAC
International Organization for Migration,Total DAC
Cooperation Andina de Fomento,Total DAC
International Criminal Court,Total DAC
African Union Mission in Somalia,Total DAC
African Union Mission in Sudan,Total DAC
African Union Mission in Sudan ,Total DAC
Aid for Central Africa,Total DAC
Allocation of unearmarked funds by IOM,Total DAC
Arab Authority for Agricultural Investment and Development ,Total DAC
Business and Professional Women Organization,Total DAC
Caribbean Disaster Emergency Management Agency,Total DAC
Caribbean Disaster Emergency Response Agency,Total DAC
CARICOM Regional Development Programme,Total DAC
Cluster Munition Coalition,Total DAC
Commonwealth Secretariat,Total DAC
Coordinating Committee for Coastal and Offshore Geo. Progr. in East Southeast Asia,Total DAC
Corporacion andina de fomento ,Total DAC
Danube Commission,Total DAC
Desert Locust Control Organization for Eastern Africa,Total DAC
EADRCC - Euro-Atlantic Disaster Response Coord.Centre,Total DAC
EDF9,Total DAC
EITI - Extractive Industry Transparency Initiative,Total DAC
GLIA Initiative Project HIV/AIDS,Total DAC
Global Facility for Disaster Risk Reduction,Total DAC
Global Facility for Disaster Risk Reduction ,Total DAC
Gulf Cooperation Council,Total DAC
ICDO - InterNational Civil Defence Organisation ,Total DAC
IHRA,Total DAC
Inter Américain de Coopération Agricole ,Total DAC
Intergov Authority on Development ,Total DAC
Inter-Governmental Agency on Development,Total DAC
InterNational Civil Defense Organisation,Total DAC
InterNational Commission Against Impunity,Total DAC
International Commission against the Death Penalty - ICDP,Total DAC
InterNational Criminal Tribunal for Rwanda,Total DAC
InterNational Humanitarian Partnership,Total DAC
InterNational IDEA,Total DAC
InterNational Institute for Democracy and Electoral Assistance - InterNational IDEA,Total DAC
InterNational Security Assistance Force,Total DAC
Mekong River Commission,Total DAC
NATO / PfP,Total DAC
New Ireland PDC,Total DAC
OIP - Office of the Iraq Programme,Total DAC
Organisation for Economic Co-operation and Development,Total DAC
Partnership for Peace,Total DAC
SCO,Total DAC
The InterNational Barent secretary,Total DAC
Tripartite Core Group,Total DAC
Union of Sudan African Parties,Total DAC
World Bank Group,Total DAC
"Global Fund to Fight AIDS, Tuberculosis and Malaria",Total DAC
Africa Solidarity Trust Fund,Total DAC
Education Cannot Wait Fund,Total DAC
Multi-Donor Trust Fund for the Sudan,Total DAC
Multi-Donor Trust Fund for the Sudan South,Total DAC
Darfur Peace and Stability Fund,Total DAC
Ebola Response Multi-Partner Trust Fund,Total DAC
UN TF for Int'l Coop&Dev,Total DAC
Humanitarian Innovation Fund,Total DAC
EZINGO Central African Republic Multi-Partner Trust Fund,Total DAC
Afghan Reconstruction Trust Fund,Total DAC
Afghan Reconstruction Trust Fund ,Total DAC
ERF Recipients,Total DAC
Global Fund,Total DAC
Global Fund for TB/HIV/AIDS Programme,Total DAC
Multi-Donor Fund Facility for Disaster Recovery-Indonesia,Total DAC
Multi-Donor Trust Fund ,Total DAC
Multi-Donor Trust Fund for the Sudan ,Total DAC
Stabilization and Recovery Funding Facility in Eastern DRC,Total DAC
Pew Charitable Trusts,Total DAC
Private (individuals & organizations),Total DAC
T. Kuroyanagi,Total DAC
The General Assembly of Presbyterian Church in Korea,Total DAC
Kim Seung-Jung,Total DAC
Catholic Priest Association for Justice,Total DAC
"Catholic Church, Germany",Total DAC
Boston Archiepiscopal Diocese,Total DAC
Catholic Mission,Total DAC
Empress Shoken Fund,Total DAC
Presbyterian Church of Korea,Total DAC
BIJOU Trust,Total DAC
Trust & Legacies,Total DAC
Omidyar Fund,Total DAC
Shinnyo-en,Total DAC
Rissho Koseikai,Total DAC
Church of Jesus Christ (Johannesburg),Total DAC
The Church of Jesus Christ of Latter-Day Saints,Total DAC
"Al-Aqsa Islamic Society, USA",Total DAC
World Assembly of Muslim Youth,Total DAC
ISLAMIC SHURA COUNCIL OF MICHIGAN,Total DAC
Arab Medical Association,Total DAC
BMO Financial Group,Total DAC
Foresters,Total DAC
Kuwaiti Social Reform Society,Total DAC
Global Thematic Partners,Total DAC
National Basketball Association,Total DAC
National Football League,Total DAC
EO Metterdaad,Total DAC
"Frontiers, Ruwad Association",Total DAC
World Mission Society Church of God,Total DAC
Norwegian Aid Committee,Total DAC
Latter-Day Saint Charities,Total DAC
ST. ANDREWS SOCIETY,Total DAC
Church Women Solidarity for Supporting North Korea Children,Total DAC
Korean Church Federation of Support for North Korea,Total DAC
Association of Major Superious of Religious Women in Korea,Total DAC
Evangelical Development Programme,Total DAC
Evangelical Fellowship of India Commission on Relief,Total DAC
Association for People's Cooperation between South and North Korea,Total DAC
Mission Aviation Fellowship,Total DAC
Swedish Mission Council,Total DAC
The Mission Covenant Church of Sweden,Total DAC
Delta Development Program,Total DAC
Les Amis du Liban,Total DAC
Union of Relief Organizations – Lebanon,Total DAC
Waqf Alghanem and Othman mosques,Total DAC
Misereor,Total DAC
Family Charitable Organisation,Total DAC
National Council of Churches in Australia,Total DAC
11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,Total DAC
Active in Development Association,Total DAC
Acumet Catholic Parish,Total DAC
Afghan Technical Consultants,Total DAC
Africa Centre for Holistic Management,Total DAC
AGROCARE Community Development Association,Total DAC
Alliance for International Medical Action,Total DAC
American Bar Association,Total DAC
American Jewish Joint Distribution Committee,Total DAC
Anna Lininger,Total DAC
Arab Physicians Federation,Total DAC
Archdiocese of Kisumu,Total DAC
Arche de l'Alliance,Total DAC
Asian Network for Free Election,Total DAC
Asmae Soeur Emmanuelle,Total DAC
Associação Saúde em Português,Total DAC
Associated Banc-Corp,Total DAC
Association de Lutte Contre le Sida,Total DAC
Association Fraternite Universelle,Total DAC
Aweil Window of Opportunities and Development Agency,Total DAC
BDC Anglican,Total DAC
BDD BUKAVU,Total DAC
BDD Kasongo,Total DAC
BMW Group,Total DAC
Bridderlech Deelen,Total DAC
Brotherhood Association humanity of Human Rights,Total DAC
Buddist Committee of Concord Nation,Total DAC
Bundesamt für Migration,Total DAC
Bureau des œuvres médicales diocésaines (BDOM),Total DAC
Bureau InterNational Catholique de l'Enfance,Total DAC
CAMPS/CELPA,Total DAC
Canadian Baptist Ministries,Total DAC
Canadian Healthcare Association,Total DAC
"Cardinal Health, Inc.  ",Total DAC
Catholic Church of Khartoum,Total DAC
Catholic Diocese of Erie,Total DAC
Catholic Diocese of Kericho,Total DAC
Catholic Diocese of Nakuru,Total DAC
Catholic Diocese of Torit,Total DAC
CEFA,Total DAC
Centarl Regions Livestock Professional Association,Total DAC
Center for Humanitarian Services,Total DAC
Central Community Chest of Japan,Total DAC
"Children's Global Network, Pakistan (Guarantee) Limited",Total DAC
Chreso Ministries,Total DAC
Christian Aid Ministries Nehemia,Total DAC
Christian Peacemaker Teams,Total DAC
Christusträger Bruderschaft,Total DAC
Church of Sweden,Total DAC
Church of the Latter Day Saints,Total DAC
Church of the Living God InterNational,Total DAC
Clinton Bush Haiti Fund,Total DAC
Clinton Health Access Initiative,Total DAC
Collectif Asie Enfants Isolés,Total DAC
Comite Catholique contre la faim,Total DAC
Comité de bienfaisance assyrien,Total DAC
Comité Français pour la Solidarité ,Total DAC
Communauté Evangélique au Kwango (CEK),Total DAC
Community Activity for Development and Relief Organization,Total DAC
Consejo Comunitario Mayor de la Asociación Campesina Integral del Atrato,Total DAC
Consolata Sisters,Total DAC
Consolata Sisters ,Total DAC
Consulate General,Total DAC
Corporación Gestión Ecuador,Total DAC
Council of Churches,Total DAC
Custodia Franciscana,Total DAC
Den norske Advokatforening,Total DAC
Den norske dommerforeningen,Total DAC
Den norske forfatterforening,Total DAC
Den Norske Kirke,Total DAC
Det Mosaiske Trossamfund,Total DAC
Deutsches Institute für Arztliche Mission,Total DAC
Diocese de Hwange,Total DAC
Diocese of Ambikapur,Total DAC
Diocese of Eldoret,Total DAC
Diocese of Gbarnga,Total DAC
Diocese of Padang,Total DAC
Diocese of Rumbek,Total DAC
DryLands Coordination Group,Total DAC
ENDESA Group,Total DAC
Energy Regulators Regional Association,Total DAC
Ensemble Contre la Peine de Mort,Total DAC
Episcopal Relief and Development,Total DAC
Ethiopian Orthodox Church,Total DAC
Evangelical Devolpment Programme,Total DAC
Faire Face,Total DAC
Family Empowerment and Relief Organisation,Total DAC
Family Health InterNational,Total DAC
Farmers Integrated Development Association,Total DAC
FE Y ALEGRIA,Total DAC
Federation of Women Lawyers in Kenya,Total DAC
FIDCON,Total DAC
Floresta Ayiti [Plant With Purpose],Total DAC
FMYY,Total DAC
Fönix Special Rescue Team,Total DAC
Foster Parents Plan Canada,Total DAC
Foyer Maurice Sixto,Total DAC
Franciscan Missionary of Mary,Total DAC
Ft. Bernard Kurera,Total DAC
Ft. Hubert Leeb,Total DAC
Ft. Jakob Krinzinger,Total DAC
Ft. Josef Schröger,Total DAC
Ft. Karl Kuppelwieser,Total DAC
Ft. Petrus Obermüller,Total DAC
Full Gospel Assemblies,Total DAC
Funksjonshemmedes fellesorganisasjon,Total DAC
GEA Society,Total DAC
German Mission Herat,Total DAC
Give World,Total DAC
Give2Asia,Total DAC
GKST - Presbyterian Christian Church of Central Sulawesi,Total DAC
Global Editors Network,Total DAC
Global Forum for Media Development,Total DAC
Global Forum on Migration and Development,Total DAC
Global Hope Network InterNational,Total DAC
Global Humanitarian Forum,Total DAC
Global Network of Civil Society Orgs,Total DAC
Great Family Organization,Total DAC
"GRONSUND, STEIN OVE",Total DAC
Groupe de Recherche et d'Echanges Technologiques,Total DAC
Heal Africa,Total DAC
Health and Human Rights Info,Total DAC
Healthworkers Community ,Total DAC
Heilsarmee,Total DAC
Hijra,Total DAC
Hiran Water Supply and Community Development Organisation,Total DAC
Hôpital Français de Hanoï,Total DAC
Hôpital Saint-Joseph,Total DAC
Horsed Relief and Development Organization,Total DAC
Hudec Sedec,Total DAC
Humanitarian Africa Relief Development Organization,Total DAC
Humanitarian Forum,Total DAC
ICASE,Total DAC
IDDEALES,Total DAC
Independent Commission for Human Rights,Total DAC
Indonesian Humanitarian Committee,Total DAC
Industri Energi (fagforbundet),Total DAC
InfoAsAid,Total DAC
Information Management and Mine Action Programs,Total DAC
Initiative Development,Total DAC
Initiative Developpement,Total DAC
Initiative Développement,Total DAC
Initiative for Development and Empowerment Axis,Total DAC
Institute of Water and Environment,Total DAC
Instituto de Directores de Mocambique,Total DAC
Instituto Dominicano de Desarrollo Integral ,Total DAC
InterNational Business Leaders Forum,Total DAC
InterNational Cities of Refuge Network,Total DAC
InterNational Federation of Journalist,Total DAC
InterNational Federation of Journalists,Total DAC
InterNational Lifeline Fund,Total DAC
InterNational News Safety Institute,Total DAC
"InterNational Pen, Writers in Prison Committee",Total DAC
InterNational Planned Parenthood Federation Western Hemisphere Region ,Total DAC
InterNational Press Institute,Total DAC
InterNational Reading Association,Total DAC
InterNational Volley-Ball Federation,Total DAC
Islamic Institute of Autism,Total DAC
Islamic Medical Association,Total DAC
Japan America Society of Southern California,Total DAC
Japan Society,Total DAC
Japanese Society of Georgia,Total DAC
JASMAR,Total DAC
JHPIEGO,Total DAC
Joint Christian Services InterNational,Total DAC
Kabakabiya Smallhoders Charitable Society,Total DAC
Kadugli Interfaith Coalition,Total DAC
Karuna Myanmar Social Services,Total DAC
Karuna Taungngu,Total DAC
Khuram and Sarbagh Rehabilitation Organization,Total DAC
Kids in Distressed Situations,Total DAC
Kissito Healthcare International,Total DAC
Kölnische Franziskanerprovinz Von Den Heiligen Drei Königen,Total DAC
Korean-American Association,Total DAC
Kurdish Human Rights Project,Total DAC
Kuwait Joint Relief Committee,Total DAC
Kuwaiti Patients Helping Fund,Total DAC
Kvekerhjelp,Total DAC
Landsforeningen for lesbisk og homofil frigjøring,Total DAC
"Landsorganisasjonen i Norge, 3",Total DAC
Larry Page's Family Foundation,Total DAC
Lebanese Association for Development Al Majmoua,Total DAC
Les Amis du Tibet,Total DAC
Les Sarments de Lavaux,Total DAC
Life InterNational,Total DAC
Life With Dignity,Total DAC
Living Waters,Total DAC
Ma'an,Total DAC
Madrasati Initiative,Total DAC
Manitoba Council for InterNational Co-operation,Total DAC
Medishare,Total DAC
MERCY - USA FOR AID AND DEVELOPMENT,Total DAC
Mision para Cristo,Total DAC
"Mission 21, Basle",Total DAC
Mission am Nill,Total DAC
Mission Armenia,Total DAC
Mission Austria - Päpstliche Missionswerke in österreich,Total DAC
Missionnaires du Divin Maître,Total DAC
Missionszentrale der Franziskaner e.V.,Total DAC
Monaco Aide et Presence,Total DAC
Moravian Church,Total DAC
Mothers of Chechnya,Total DAC
Mubadiroon Organisation,Total DAC
Muhammadiyah,Total DAC
Næringslivets Hovedorganisasjon,Total DAC
Nahdlatul Ulamu,Total DAC
National Commission for Human Development,Total DAC
National Council of Churches of Kenya,Total DAC
National Relief Committee,Total DAC
Nawayee Rehabilitation and Development Organization for Afghan Women,Total DAC
New York Yankees,Total DAC
Nile Hope Development Forum,Total DAC
Niños de la Tierra,Total DAC
NOOR Dubai,Total DAC
Norsk PEN,Total DAC
Norske PEN,Total DAC
Norwegian Medical Association,Total DAC
Norwegian Pentecostal Movement,Total DAC
